Lon,Lat,Cum,Climatology,RR
-0.5,6.5,1382.33251953125,1257.56921386719,109.920989182011
-0.5,7,1366.01647949219,1236.93432617188,110.435651318676
-0.5,7.5,1349.7001953125,1216.29907226563,110.967789591287
-0.5,8,1333.38415527344,1195.6640625,111.518293230749
-0.5,8.5,1317.06787109375,1175.02905273438,112.088111185748
-0.5,9,1288.2138671875,1138.64990234375,113.135202008615
-0.5,9.5,1246.82189941406,1086.52673339844,114.752988682962
-1,-0.5,1107.45104980469,1189.58190917969,93.0958214191711
-1,-1,966.008911132812,1060.80541992188,91.0637231853469
-1,-1.5,852.998229980469,949.062622070313,89.8779711837891
-1,-10,52.1260528564453,80.3550796508789,
-1,-10.5,45.6140213012695,73.0068893432617,
-1,-11,39.1019859313965,65.6586990356445,
-1,-11.5,36.1316070556641,61.4127998352051,
-1,-12,36.7028884887695,60.2692031860352,
-1,-12.5,37.2741622924805,59.1256103515625,
-1,-13,37.8454360961914,57.9820175170899,
-1,-13.5,38.4167137145996,56.8384132385254,
-1,-14,39.8616676330566,57.6263961791992,
-1,-14.5,42.1802940368652,60.345947265625,
-1,-15,44.4989242553711,63.0654983520508,
-1,-15.5,46.8175582885742,65.7850494384766,
-1,-16,49.1361808776856,68.5046005249023,
-1,-16.5,51.8416404724121,71.3841552734375,
-1,-17,54.9339256286621,74.423698425293,
-1,-17.5,58.0262069702149,77.463249206543,
-1,-18,61.1184921264649,80.502799987793,
-1,-18.5,64.2107772827148,83.542350769043,
-1,-19,65.7775955200195,84.9802932739258,
-1,-19.5,65.8189544677734,84.8166351318359,
-1,-2,768.419006347656,854.353576660156,89.9415683786991
-1,-2.5,683.839782714844,759.64453125,90.0210235950203
-1,-20,65.8603134155274,84.6529769897461,
-1,-20.5,65.9016723632813,84.4893264770508,
-1,-21,65.9430313110352,84.325668334961,
-1,-21.5,65.8610458374024,83.7899475097656,
-1,-22,65.6557235717774,82.8821563720703,
-1,-22.5,65.4504165649414,81.9743728637695,
-1,-23,65.2450942993164,81.0665893554688,
-1,-23.5,65.0397720336914,80.1587982177735,
-1,-24,73.1011276245117,86.5970306396484,
-1,-24.5,89.4291458129883,100.381271362305,89.0894731649821
-1,-25,105.757164001465,114.165519714355,92.6349429022629
-1,-25.5,122.085189819336,127.949752807617,95.4165108883805
-1,-26,138.413192749023,141.733993530273,97.6570188290499
-1,-26.5,155.751983642578,157.19482421875,99.0821322627239
-1,-27,174.101531982422,174.33219909668,99.8676853068721
-1,-27.5,192.451065063477,191.469573974609,100.512609428481
-1,-28,210.80061340332,208.606948852539,101.05157788983
-1,-28.5,229.150146484375,225.74430847168,101.508714897732
-1,-29,259.661163330078,256.765838623047,101.127612895297
-1,-29.5,302.333648681641,301.671508789063,100.219490363951
-1,-3,599.260620117188,664.935424804688,90.1231304217563
-1,-3.5,514.681335449219,570.226379394531,90.2591241036077
-1,-30,345.006103515625,346.577178955078,99.5466881448485
-1,-30.5,387.678588867188,391.482818603516,99.0282511631293
-1,-31,430.351043701172,436.388488769531,98.6164976337064
-1,-31.5,476.12109375,485.947845458984,97.9778176195631
-1,-32,524.988586425781,540.160827636719,97.1911622548939
-1,-32.5,573.856201171875,594.373840332031,96.54802453138
-1,-33,622.723754882813,648.5869140625,96.0123834417672
-1,-33.5,671.59130859375,702.799865722656,95.5593962590167
-1,-34,721.464904785156,758.27685546875,95.1453152739526
-1,-34.5,772.344665527344,815.017761230469,94.7641514414729
