Lon,Lat,Cum,Climatology,RR
-0.5,-7,45.0280990600586,45.960205078125,
-0.5,-7.5,40.7320175170899,41.8755302429199,
-0.5,-8,36.4359436035156,37.7908592224121,
-0.5,-8.5,32.1398620605469,33.706184387207,
-0.5,-9,28.311595916748,30.0178527832031,
-0.5,-9.5,24.9511413574219,26.7258625030518,
-0.5,0,387.928070068359,381.486968994141,101.68841968343
-0.5,0.5,409.580871582031,395.537811279297,103.550371140831
-0.5,1,431.233673095703,409.588592529297,105.284590674936
-0.5,1.5,429.107666015625,403.736145019531,106.284183694989
-0.5,10,65.7762603759766,40.4451484680176,
-0.5,10.5,45.3678665161133,30.5737361907959,
-0.5,11,24.9594650268555,20.7023239135742,
-0.5,11.5,14.1522951126099,14.5269432067871,
-0.5,12,12.9463605880737,12.0475959777832,
-0.5,12.5,11.740424156189,9.5682487487793,
-0.5,13,10.5344896316528,7.08890199661255,
-0.5,13.5,9.32855319976807,4.60955476760864,
-0.5,14,9.1369514465332,3.23041391372681,
-0.5,14.5,9.95968627929688,2.95148158073425,
-0.5,15,10.7824201583862,2.67254877090454,
-0.5,15.5,11.6051540374756,2.39361619949341,
-0.5,16,12.4278879165649,2.11468386650085,
-0.5,16.5,13.0337772369385,2.17477536201477,
-0.5,17,13.4228239059448,2.57389116287231,
-0.5,17.5,13.8118705749512,2.97300744056702,
-0.5,18,14.2009153366089,3.37212324142456,
-0.5,18.5,14.5899620056152,3.77123928070068,
-0.5,19,14.3943710327148,4.13681697845459,
-0.5,19.5,13.6141443252563,4.46885681152344,
-0.5,2,403.202789306641,377.980377197266,106.672942203085
-0.5,2.5,377.297943115234,352.224609375,107.118563857513
-0.5,20,12.8339185714722,4.80089616775513,
-0.5,20.5,12.053692817688,5.13293552398682,
-0.5,21,11.2734670639038,5.46497535705566,
-0.5,21.5,10.8495674133301,5.87769174575806,
-0.5,22,10.7819957733154,6.37108612060547,
-0.5,22.5,10.7144231796265,6.86448049545288,
-0.5,23,10.6468515396118,7.35787391662598,
-0.5,23.5,10.5792798995972,7.85126781463623,
-0.5,24,10.2471780776978,8.35453701019287,
-0.5,24.5,9.65054607391357,8.86768245697022,
-0.5,25,9.05391502380371,9.38082790374756,
-0.5,25.5,8.45728492736816,9.8939733505249,
-0.5,26,7.86065340042114,10.4071178436279,
-0.5,26.5,6.8536229133606,10.7092924118042,
-0.5,27,5.43619585037231,10.8004970550537,
-0.5,27.5,4.01876735687256,10.8917007446289,
-0.5,28,2.60133981704712,10.9829053878784,
-0.5,28.5,1.1839120388031,11.0741090774536,
-0.5,29,1.63297188282013,12.8599720001221,
-0.5,29.5,3.94851970672607,16.3404922485352,
-0.5,3,351.39306640625,326.468841552734,107.634488098458
-0.5,3.5,325.488220214844,300.713073730469,108.238799257056
-0.5,30,6.26406717300415,19.8210124969482,
-0.5,30.5,8.57961559295654,23.3015327453613,
-0.5,31,10.8951625823975,26.7820529937744,
-0.5,31.5,15.4161720275879,33.3177604675293,
-0.5,32,22.1426410675049,42.9086647033691,
-0.5,32.5,28.8691120147705,52.499568939209,
-0.5,33,35.5955810546875,62.0904655456543,
-0.5,33.5,42.3220520019531,71.6813735961914,
-0.5,34,48.6014671325684,80.0045013427734,
-0.5,34.5,54.4338264465332,87.0598678588867,
-0.5,35,60.2661895751953,94.1152191162109,
-0.5,35.5,66.0985488891602,101.170585632324,65.333761266715
-0.5,36,71.9309005737305,108.225944519043,66.4636385419338
-0.5,36.5,70.6501998901367,108.831367492676,64.9171296086961
-0.5,37,62.2564201354981,102.986877441406,60.4508279910889
-0.5,37.5,53.8626480102539,97.1423797607422,
-0.5,38,45.4688758850098,91.2978897094727,
-0.5,38.5,37.0751037597656,85.4533920288086,
-0.5,39,35.5064888000488,82.9418106079102,
-0.5,39.5,40.7630386352539,83.7631454467774,
-0.5,4,293.264434814453,271.696502685547,107.938244296751
-0.5,4.5,254.721755981445,239.419219970703,106.391523626472
-0.5,40,46.0195922851563,84.58447265625,
-0.5,5,216.179092407227,207.14192199707,104.362791617954
-0.5,5.5,177.636413574219,174.864608764648,101.585114809196
-0.5,6,139.09375,142.587310791016,97.5498795989385
-0.5,6.5,119.519874572754,120.316146850586,99.3381833621876
-0.5,7,118.91487121582,108.051162719727,110.054226370773
-0.5,7.5,118.309837341309,95.7861709594727,
-0.5,8,117.704803466797,83.5211715698242,
-0.5,8.5,117.09977722168,71.2561798095703,
-0.5,9,106.593070983887,60.1879692077637,
-0.5,9.5,86.1846694946289,50.3165626525879,
-1,-0.5,345.594573974609,350.813201904297,98.5124197432253
-1,-1,326.262725830078,337.528137207031,96.6623785885906
-1,-1.5,300.878326416016,315.208953857422,95.4536102905603
-1,-10,22.2060642242432,23.5286083221436,
-1,-10.5,18.74294090271,20.0857391357422,
-1,-11,15.2798156738281,16.6428661346436,
-1,-11.5,12.9287757873535,14.5495948791504,
-1,-12,11.6898221969605,13.8059196472168,
-1,-12.5,10.4508666992188,13.0622453689575,
-1,-13,9.21191310882568,12.3185710906982,
-1,-13.5,7.97295761108398,11.5748958587647,
-1,-14,7.86760091781616,11.4342861175537,
-1,-14.5,8.89583873748779,11.8967399597168,
-1,-15,9.9240779876709,12.3591909408569,
-1,-15.5,10.9523181915283,12.82164478302,
-1,-16,11.9805555343628,13.2840976715088,
-1,-16.5,12.7254762649536,13.8693161010742,
-1,-17,13.1870794296265,14.5773000717163,
-1,-17.5,13.6486797332764,15.2852830886841,
-1,-18,14.1102819442749,15.9932670593262,
-1,-18.5,14.5718851089478,16.7012500762939,
-1,-19,14.4894781112671,16.8993186950684,
-1,-19.5,13.8630647659302,16.587474822998,
-1,-2,269.441375732422,283.855682373047,94.9219594548467
-1,-2.5,238.00439453125,252.502334594727,94.2582946463659
-1,-20,13.2366504669189,16.2756328582764,
-1,-20.5,12.610237121582,15.9637880325317,
-1,-21,11.9838228225708,15.6519432067871,
-1,-21.5,11.7289752960205,15.2529554367065,
-1,-22,11.8456935882568,14.7668228149414,
-1,-22.5,11.9624118804932,14.2806911468506,
-1,-23,12.0791311264038,13.7945575714111,
